id | domain_mismatch | fname_mismatch | status_mismatch | lname_mismatch | email_mismatch | phone_mismatch | date_added_mismatch | date_updated_mismatch
---+-----------------+----------------+-----------------+----------------+----------------+----------------+---------------------+----------------------
13660      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
211        | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
1453       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
10011      | 0          | 1          | 0          | 0          | 0          | 0          | 0          | 0         
18313      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
12706      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17035      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
4887       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
4885       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
4882       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
4880       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
4872       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
4869       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
4866       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
19687      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17301      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
1234       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
3238       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
2949       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
2418       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
12678      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
11476      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
6008       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
13962      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
4678       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17855      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
1565       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
1562       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
12630      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
5369       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
3300       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
3299       | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
20640      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
12828      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
13729      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
13001      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
12932      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17838      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17836      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17181      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17180      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17179      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17178      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17177      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17175      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17173      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
17171      | 0          | 0          | 1          | 0          | 0          | 0          | 0          | 0         
